# Voucher Tickets 1..1023 for Roll 1
# Nr of Roll Bits     16
# Nr of Ticket Bits   10
# Nr of Checksum Bits 5
# magic initializer   1469819051 (32 Bits used)
# Character Set used  2345678abcdefhijkmnpqrstuvwxyzABCDEFGHJKLMNPQRSTUVWXYZ
#
" 8msNyV4axxW"
" 5nmv442zE7i"
" 5tLvkzhmQEd"
" 4fKhxwxypaG"
" tcWavAyEB4S"
" VKNb7HhAjdr"
" r8JaRnFwDZS"
" 2P5mcykGL5"
" S6sUXq3B4Sk"
" B3pQCxa3na8"
" hNDdHMJsT8p"
" bqEF3fCwKZn"
" KbLtUDMQWBU"
" 8zxazZLAUke"
" ZwPQfpfkZKc"
" qSyxXqdbbaK"
" nskuBnTyMqt"
" CMrq5vwkhFH"
" L4sfaEZnSz3"
" hiumHxUVeHw"
" ZyGF3yjm5Da"
" xWV3QFetkaU"
" b8CGrdWmAPm"
" 8kVycHxurPG"
" np2uk4bDRkc"
" DZLctCLZUH3"
" GDLRK4Jtqvv"
" iiV75PhQNWh"
" kY8sFaWMczn"
" XsfCKqawrMq"
" zZbdnsXxZZb"
" JVAbB2NtzJJ"
" ZmiahRmkaXQ"
" XpPz23LvaFr"
" WqceT2BLzNb"
" wrYCLnWNLEn"
" xq4KpGwefeP"
" LHPSeYuVxLB"
" LA5XVEmSF54"
" rf6tzqpY7Pj"
" n3bXwauWr8H"
" Jersf7NvDXA"
" jdsyRE3WsUV"
" 5bn4xxLPRcv"
" hqPZhKNF2vq"
" fj77Rh3kaRC"
" AiXNjNG22AS"
" hpQ6etcGfWE"
" bFC8s5ZmWfW"
" SfQyAJUVTJJ"
" QBsrZ2EZCbp"
" fBFKtCM35pG"
" XbKhZquXYqc"
" KYEKiEv4S8q"
" LsLFMU2icWu"
" NXFVJuVFQLF"
" F8DYe4pCLi8"
" S57HqWVPbCF"
" edfBB5s7dM7"
" iE6AKEhedCC"
" EfEzdrDZH3V"
" pvqRqkERFrb"
" ZHdVzvvN8Zs"
" sGFLGPud7hc"
" 66aCDN4Tbe6"
" DSAKJCdX5bD"
" XZaUxZnsDE"
" PeXGpFd5Afi"
" N5QxydLGvrW"
" 3dw3qc44mjY"
" FLvTmLTCEaQ"
" Kva4HbrP5LG"
" Tkqfhy4K6Kb"
" hk4DLurCDhX"
" qvBuGkecnzr"
" SDd7YFkMCRc"
" 5NGQEQ7m6GD"
" J8teBGnjAnu"
" 6BKwbTqXG7G"
" QNUq2trnvt5"
" EKuvz2mACre"
" FNGVFWVNtsn"
" KmFQFrvVUmr"
" qVy3S2w2sG"
" mqmamDDzBjP"
" cEp4qYv4PAB"
" r22A7cub3pT"
" dXPPMkbkWwS"
" RV3xh2MQ3tV"
" knpC6fxMuqG"
" LADnRVP2zKd"
" kJdeuDccD7L"
" 6LnNtwY4WUS"
